Fecha,Hora,Pronosticada,Minera,Variable,Estacion,OBS-PRO,uuid
01/09/2024,3,3.1,Enami,SO2,Paipote,Pronosticada,1116da67-e1d7-5021-b498-4f03a623e807
01/09/2024,4,3.9,Enami,SO2,Paipote,Pronosticada,98cdd4b5-8932-5b39-a541-ba8e40ef4b49
01/09/2024,5,8.2,Enami,SO2,Paipote,Pronosticada,ea1c2384-3e1c-58e3-a47a-9f5c22fd9e9e
01/09/2024,6,4.1,Enami,SO2,Paipote,Pronosticada,8084e9eb-a636-5a80-8534-ae7384a3d4a8
01/09/2024,7,7.2,Enami,SO2,Paipote,Pronosticada,0e9d12ba-ed24-5956-b345-12d42052cfd8
01/09/2024,8,7.9,Enami,SO2,Paipote,Pronosticada,f0ae2764-ac56-5dfa-a9e1-d49b0d2efdaf
01/09/2024,9,17.3,Enami,SO2,Paipote,Pronosticada,1d0baa92-6670-5306-8f88-418595fffefe
01/09/2024,10,4.8,Enami,SO2,Paipote,Pronosticada,f3a72f38-2bd7-5087-a6f9-705cb0790d35
01/09/2024,11,8.0,Enami,SO2,Paipote,Pronosticada,f8fbc876-4de5-5e7c-a033-e09db2cbc4fc
01/09/2024,12,5.1,Enami,SO2,Paipote,Pronosticada,c86590dd-bc9a-5cc0-aeec-4f9f41d7eee9
01/09/2024,13,7.0,Enami,SO2,Paipote,Pronosticada,2c761bda-9e64-53e5-9e27-abc3c3bfff28
01/09/2024,14,3.8,Enami,SO2,Paipote,Pronosticada,b4651fa3-5e7d-573e-8f5b-05d14290255b
01/09/2024,15,6.5,Enami,SO2,Paipote,Pronosticada,c1762193-3c4d-5401-8d3f-350a022778b0
01/09/2024,16,7.6,Enami,SO2,Paipote,Pronosticada,5a9a85fb-e76c-5f28-9971-978fd5cc318d
01/09/2024,17,3.8,Enami,SO2,Paipote,Pronosticada,8afdb41f-ffe5-5b77-8c29-1f6a10822152
01/09/2024,18,5.2,Enami,SO2,Paipote,Pronosticada,41e84140-6c96-5f72-bbd2-a5163da2d26f
01/09/2024,19,6.1,Enami,SO2,Paipote,Pronosticada,c3920f77-a0f7-56b1-943a-b28a5a02afaf
01/09/2024,20,6.2,Enami,SO2,Paipote,Pronosticada,131387dc-954c-5b20-9a16-62b35e48e0c9
01/09/2024,21,5.1,Enami,SO2,Paipote,Pronosticada,b95003b0-f000-5bb3-a47d-12120ef4c43e
01/09/2024,22,4.5,Enami,SO2,Paipote,Pronosticada,526ce499-30bc-5916-a6cf-896f68c8b7f6
01/09/2024,23,7.5,Enami,SO2,Paipote,Pronosticada,75796f0b-bb88-54e7-97d4-e07bb59d58e2
01/10/2024,0,6.3,Enami,SO2,Paipote,Pronosticada,0003fdc1-aa13-58aa-891c-6a3d95b74ce2
01/10/2024,1,9.0,Enami,SO2,Paipote,Pronosticada,a0b27a0a-8e5b-5307-a730-1b3ab67e7223
01/10/2024,2,6.6,Enami,SO2,Paipote,Pronosticada,ef701497-5879-53de-8423-098a88e2f6bd
01/10/2024,3,17.3,Enami,SO2,Paipote,Pronosticada,a56be5a7-c3fd-5cb8-9822-e846dc46805b
01/10/2024,4,3.6,Enami,SO2,Paipote,Pronosticada,713f8fd4-5013-533e-b8a2-fd5cb58fcdcf
01/10/2024,5,6.4,Enami,SO2,Paipote,Pronosticada,f6025409-378d-524c-b65e-c51ad08e5997
01/10/2024,6,7.8,Enami,SO2,Paipote,Pronosticada,a7511709-c920-563d-963f-75aa48a2b272
01/10/2024,7,9.6,Enami,SO2,Paipote,Pronosticada,b1ef1413-e9f8-5ec6-bc89-0cfaf95ff1a6
01/10/2024,8,25.7,Enami,SO2,Paipote,Pronosticada,65aac8bb-f503-5848-b732-e4dc6a0bd32e
01/10/2024,9,18.5,Enami,SO2,Paipote,Pronosticada,ddca0e31-d1fd-58df-b836-5cf2fc17c6e5
01/10/2024,10,10.6,Enami,SO2,Paipote,Pronosticada,cfa8136f-4390-5937-afcd-9f5303b9a330
01/10/2024,11,15.4,Enami,SO2,Paipote,Pronosticada,77f9b368-2081-5dd7-90ec-5cc25014b781
01/10/2024,12,5.1,Enami,SO2,Paipote,Pronosticada,2f138342-9d3e-5530-a043-d7a6384b1dbc
01/10/2024,13,7.0,Enami,SO2,Paipote,Pronosticada,1a366911-17a3-54a1-b119-2e2b71150151
01/10/2024,14,3.8,Enami,SO2,Paipote,Pronosticada,2cc04ac6-d0ce-5759-b719-1972e79b3a26
01/10/2024,15,5.1,Enami,SO2,Paipote,Pronosticada,0b96a499-9625-5145-86e1-b38e089ad106
01/10/2024,16,4.9,Enami,SO2,Paipote,Pronosticada,e67af0cb-d7af-5c23-9ab0-88f2582442e9
01/10/2024,17,4.8,Enami,SO2,Paipote,Pronosticada,f1b0af37-c31b-518c-86af-950d92ff3f60
01/10/2024,18,4.7,Enami,SO2,Paipote,Pronosticada,94bd3723-bdd2-5b4f-99b8-4969b2075ded
01/10/2024,19,4.4,Enami,SO2,Paipote,Pronosticada,049a0c5a-cd52-5159-9005-1e926db6f909
01/10/2024,20,6.7,Enami,SO2,Paipote,Pronosticada,d8556036-3d70-55b7-8b91-1ecb5c1651f3
01/10/2024,21,3.3,Enami,SO2,Paipote,Pronosticada,2e3607c6-13a4-5360-b84c-37b18eb1b8fc
01/10/2024,22,4.2,Enami,SO2,Paipote,Pronosticada,421b3c2e-d484-56c2-9bf9-01bc7a3e6677
01/10/2024,23,5.0,Enami,SO2,Paipote,Pronosticada,ac522c28-96ce-57e8-ae1c-c4cdebaa23f3
01/11/2024,0,5.0,Enami,SO2,Paipote,Pronosticada,3ce7bb7c-4444-5aab-83d7-fc20a5a00aaf
01/11/2024,1,14.2,Enami,SO2,Paipote,Pronosticada,bf5d7ff7-eea4-5d4e-a0f5-18b7dc3261dd
01/11/2024,2,6.8,Enami,SO2,Paipote,Pronosticada,a722af40-ed9b-5f6b-b1b6-293f424112c9
01/11/2024,3,3.8,Enami,SO2,Paipote,Pronosticada,dcf29213-b80a-55e3-9f05-2c39e82d7614
01/11/2024,4,15.1,Enami,SO2,Paipote,Pronosticada,254a31a3-f919-5877-bb91-fc11236bf368
