"Fecha","Hora","MP10 (Âµg/mÂ³N)"
"28/11/2023","21","39.8"
"28/11/2023","22","71.0"
"28/11/2023","23","41.2"
"29/11/2023","0","34.9"
"29/11/2023","1","11.6"
"29/11/2023","2","145.6"
"29/11/2023","3","113.8"
"29/11/2023","4","80.7"
"29/11/2023","5","40.0"
"29/11/2023","6","41.3"
"29/11/2023","7","87.8"
"29/11/2023","8","171.6"
"29/11/2023","9","260.3"
"29/11/2023","10","80.7"
"29/11/2023","11","41.5"
"29/11/2023","12","39.6"
"29/11/2023","13","76.6"
"29/11/2023","14","48.6"
"29/11/2023","15","60.2"
"29/11/2023","16","92.0"
"29/11/2023","17","61.4"
"29/11/2023","18","68.3"
"29/11/2023","19","51.8"
"29/11/2023","20","51.1"
"29/11/2023","21","43.7"
"29/11/2023","22","34.2"
"29/11/2023","23","20.6"
"30/11/2023","0","44.7"
"30/11/2023","1","82.7"
"30/11/2023","2","59.0"
"30/11/2023","3","63.7"
"30/11/2023","4","94.7"
"30/11/2023","5","133.9"
"30/11/2023","6","100.5"
"30/11/2023","7","116.3"
"30/11/2023","8","209.7"
"30/11/2023","9","195.3"
"30/11/2023","10","97.8"
"30/11/2023","11","68.3"
"30/11/2023","12","162.5"
"30/11/2023","13","126.0"
"30/11/2023","14","69.3"
"30/11/2023","15","72.0"
"30/11/2023","16","375.1"
"30/11/2023","17","215.3"
"30/11/2023","18","182.6"
"30/11/2023","19","35.9"
"30/11/2023","20","21.6"
"30/11/2023","21","26.2"
"30/11/2023","22","53.8"
"30/11/2023","23","73.7"
"01/12/2023","0","96.4"
"01/12/2023","1","88.5"
"01/12/2023","2","89.3"
"01/12/2023","3","36.2"
"01/12/2023","4","40.3"
"01/12/2023","5","19.2"
"01/12/2023","6","50.9"
"01/12/2023","7","164.6"
"01/12/2023","8","159.4"
"01/12/2023","9","201.7"
"01/12/2023","10","55.3"
